saddr,src_socket,sport,daddr,dport,proto,stime,ltime,dur,flgs,state,pkts,spkts,dpkts,bytes,sbytes,dbytes,rate,srate,drate,mean,stddev,sum,min,max,attack,category,subcategory
192.168.100.150,192.168.100.15058360,58360,192.168.217.2,53,udp,1526344326,1526344329,2.500101,e,INT,2,2,0,172,172,0,0.399984,0.399984,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14937214,37214,192.168.217.2,53,udp,1526344328,1526344331,2.501101,e,INT,2,2,0,172,172,0,0.399824,0.399824,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14836138,36138,192.168.217.2,53,udp,1526344331,1526344333,2.501218,e,INT,2,2,0,172,172,0,0.399805,0.399805,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.150,,192.168.100.1,,arp,1526344332,1526345484,1152.25659,e,CON,6,3,3,360,180,180,0.004339,0.001736,0.001736,0.000091,0.000014,0.000273,0.000075,0.000109,0,Normal,Normal
192.168.100.7,192.168.100.7138,138,192.168.100.255,138,udp,1526344332,1526345061,728.37085,e,INT,4,4,0,1086,1086,0,0.004119,0.004119,0,0.000077,0.000016,0.000154,0.000061,0.000093,0,Normal,Normal
192.168.100.147,192.168.100.14743735,43735,192.168.217.2,53,udp,1526344333,1526344335,2.501009,e,INT,2,2,0,172,172,0,0.399839,0.399839,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15057950,57950,8.8.8.8,53,udp,1526344333,1526344333,0.007523,e,CON,2,1,1,172,86,86,132.925705,0,0,0.007523,0,0.007523,0.007523,0.007523,0,Normal,Normal
192.168.100.149,192.168.100.14934295,34295,8.8.8.8,53,udp,1526344335,1526344335,0.007698,e,CON,2,1,1,172,86,86,129.90387,0,0,0.007698,0,0.007698,0.007698,0.007698,0,Normal,Normal
192.168.100.148,192.168.100.148,,192.168.100.1,,arp,1526344336,1526345489,1153.02466,e,CON,6,3,3,360,180,180,0.004336,0.001735,0.001735,0.000129,0.00005,0.000387,0.000062,0.000183,0,Normal,Normal
192.168.100.148,192.168.100.14835430,35430,8.8.8.8,53,udp,1526344337,1526344337,0.007226,e,CON,2,1,1,172,86,86,138.389145,0,0,0.007226,0,0.007226,0.007226,0.007226,0,Normal,Normal
192.168.100.147,192.168.100.147,,192.168.100.1,,arp,1526344338,1526345491,1153.53662,e,CON,6,3,3,360,180,180,0.004334,0.001734,0.001734,0.000144,0.000019,0.000431,0.000127,0.00017,0,Normal,Normal
192.168.100.150,192.168.100.1508612,8612,192.168.100.255,8612,udp,1526344338,1526344338,0.01005,e,INT,2,2,0,120,120,0,99.502487,99.502487,0,0.01005,0,0.01005,0.01005,0.01005,0,Normal,Normal
192.168.100.150,192.168.100.1508612,8612,192.168.100.255,8610,udp,1526344338,1526344338,0.010045,e,INT,2,2,0,120,120,0,99.55201,99.55201,0,0.010045,0,0.010045,0.010045,0.010045,0,Normal,Normal
fe80::250:56ff:febe:254,fe80::250:56ff:febe:2548612,8612,ff02::1,8612,udp,1526344338,1526344338,0.010024,e,INT,2,2,0,156,156,0,99.760574,99.760574,0,0.010024,0,0.010024,0.010024,0.010024,0,Normal,Normal
fe80::250:56ff:febe:254,fe80::250:56ff:febe:2548612,8612,ff02::1,8610,udp,1526344338,1526344338,0.010023,e,INT,2,2,0,156,156,0,99.770531,99.770531,0,0.010023,0,0.010023,0.010023,0.010023,0,Normal,Normal
192.168.100.147,192.168.100.14760865,60865,8.8.8.8,53,udp,1526344339,1526344339,0.007666,e,CON,2,1,1,172,86,86,130.446121,0,0,0.007666,0,0.007666,0.007666,0.007666,0,Normal,Normal
192.168.100.150,192.168.100.15056155,56155,255.255.255.255,3289,udp,1526344339,1526344339,0,e,INT,1,1,0,60,60,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15056854,56854,255.255.255.255,1124,udp,1526344340,1526344340,0,e,INT,1,1,0,79,79,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15058610,58610,192.168.217.2,53,udp,1526344350,1526344352,2.500902,e,INT,2,2,0,172,172,0,0.399856,0.399856,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14935915,35915,192.168.217.2,53,udp,1526344351,1526344354,2.500109,e,INT,2,2,0,172,172,0,0.399983,0.399983,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14833862,33862,192.168.217.2,53,udp,1526344354,1526344356,2.501172,e,INT,2,2,0,172,172,0,0.399813,0.399813,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14757830,57830,192.168.217.2,53,udp,1526344356,1526344358,2.500985,e,INT,2,2,0,172,172,0,0.399842,0.399842,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15052938,52938,8.8.8.8,53,udp,1526344356,1526344356,0.00725,e,CON,2,1,1,172,86,86,137.931046,0,0,0.00725,0,0.00725,0.00725,0.00725,0,Normal,Normal
192.168.100.149,192.168.100.14959519,59519,8.8.8.8,53,udp,1526344358,1526344358,0.007168,e,CON,2,1,1,172,86,86,139.508926,0,0,0.007168,0,0.007168,0.007168,0.007168,0,Normal,Normal
192.168.100.148,192.168.100.14852865,52865,8.8.8.8,53,udp,1526344360,1526344360,0.00743,e,CON,2,1,1,172,86,86,134.589493,0,0,0.00743,0,0.00743,0.00743,0.00743,0,Normal,Normal
192.168.100.147,192.168.100.14752216,52216,8.8.8.8,53,udp,1526344362,1526344362,0.00745,e,CON,2,1,1,172,86,86,134.228195,0,0,0.00745,0,0.00745,0.00745,0.00745,0,Normal,Normal
192.168.100.3,192.168.100.315726,15726,184.85.248.65,53,udp,1526344599,1526344599,0.215891,e,CON,2,1,1,333,98,235,4.631967,0,0,0.215891,0,0.215891,0.215891,0.215891,0,Normal,Normal
192.168.100.3,192.168.100.313392,13392,205.251.194.167,53,udp,1526344599,1526344600,0.27849,e,CON,2,1,1,366,98,268,3.590793,0,0,0.27849,0,0.27849,0.27849,0.27849,0,Normal,Normal
192.168.100.3,192.168.100.352067,52067,192.5.5.241,53,udp,1526344600,1526344600,0.031651,e,CON,2,1,1,1295,82,1213,31.594578,0,0,0.031651,0,0.031651,0.031651,0.031651,0,Normal,Normal
192.168.100.3,192.168.100.314949,14949,192.5.5.241,53,udp,1526344600,1526344600,0.031568,e,CON,2,1,1,1209,70,1139,31.67765,0,0,0.031568,0,0.031568,0.031568,0.031568,0,Normal,Normal
192.168.100.3,192.168.100.35167,5167,192.35.51.30,53,udp,1526344600,1526344600,0.164368,e,CON,2,1,1,885,82,803,6.083909,0,0,0.164368,0,0.164368,0.164368,0.164368,0,Normal,Normal
192.168.100.3,192.168.100.35720,5720,205.251.195.97,53,udp,1526344600,1526344600,0.291631,e,CON,2,1,1,323,93,230,3.428991,0,0,0.291631,0,0.291631,0.291631,0.291631,0,Normal,Normal
192.168.100.3,192.168.100.356746,56746,205.251.196.236,53,udp,1526344600,1526344600,0.009295,e,CON,2,1,1,419,93,326,107.584724,0,0,0.009295,0,0.009295,0.009295,0.009295,0,Normal,Normal
192.168.100.3,192.168.100.334560,34560,199.7.91.13,53,udp,1526344601,1526344601,0.016084,e,CON,2,1,1,1290,81,1209,62.173588,0,0,0.016084,0,0.016084,0.016084,0.016084,0,Normal,Normal
192.168.100.3,192.168.100.349393,49393,192.12.94.30,53,udp,1526344601,1526344601,0.16424,e,CON,2,1,1,883,81,802,6.088651,0,0,0.16424,0,0.16424,0.16424,0.16424,0,Normal,Normal
192.168.100.3,192.168.100.356312,56312,52.35.35.13,443,tcp,1526344601,1526344663,61.740784,e,FIN,32,18,14,6689,2361,4328,0.502099,0.275345,0.210558,0.292655,0.331883,2.048587,0.15452,1.105515,0,Normal,Normal
192.168.100.6,192.168.100.6138,138,192.168.100.255,138,udp,1526344718,1526345618,900.022827,e,INT,2,2,0,500,500,0,0.001111,0.001111,0,0,0,0,0,0,0,Normal,Normal
192.168.100.3,192.168.100.318879,18879,216.239.38.10,53,udp,1526344815,1526344815,0.180337,e,CON,2,1,1,201,98,103,5.545174,0,0,0.180337,0,0.180337,0.180337,0.180337,0,Normal,Normal
192.168.100.3,192.168.100.365040,65040,199.7.83.42,53,udp,1526344815,1526344815,0.015493,e,CON,2,1,1,1301,85,1216,64.54528,0,0,0.015493,0,0.015493,0.015493,0.015493,0,Normal,Normal
192.168.100.3,192.168.100.336332,36332,199.7.83.42,53,udp,1526344815,1526344815,0.01513,e,CON,2,1,1,1401,70,1331,66.093849,0,0,0.01513,0,0.01513,0.01513,0.01513,0,Normal,Normal
192.168.100.3,192.168.100.33144,3144,192.42.93.30,53,udp,1526344815,1526344815,0.164297,e,CON,2,1,1,891,85,806,6.086538,0,0,0.164297,0,0.164297,0.164297,0.164297,0,Normal,Normal
192.168.100.3,192.168.100.358240,58240,172.217.25.170,443,tcp,1526344815,1526344986,171.097824,e,FIN,40,21,19,7431,2996,4435,0.22794,0.116892,0.105203,0.103549,0.13648,0.414195,0.006026,0.338744,0,Normal,Normal
fe80::250:56ff:febe:26db,fe80::250:56ff:febe:26db5353,5353,ff02::fb,5353,udp,1526344875,1526344875,0,e,INT,1,1,0,107,107,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.3,192.168.100.35353,5353,224.0.0.251,5353,udp,1526344875,1526344875,0,e,INT,1,1,0,87,87,0,0,0,0,0,0,0,0,0,0,Normal,Normal
fe80::250:56ff:febe:e9d9,fe80::250:56ff:febe:e9d95353,5353,ff02::fb,5353,udp,1526344913,1526344913,0,e,INT,1,1,0,107,107,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.5,192.168.100.55353,5353,224.0.0.251,5353,udp,1526344913,1526344913,0,e,INT,1,1,0,87,87,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.4,192.168.100.45353,5353,224.0.0.251,5353,udp,1526345117,1526345117,0,e,INT,1,1,0,87,87,0,0,0,0,0,0,0,0,0,0,Normal,Normal
fe80::c0c0:aa20:45b9:bdd9,fe80::c0c0:aa20:45b9:bdd95353,5353,ff02::fb,5353,udp,1526345117,1526345117,0,e,INT,1,1,0,107,107,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14853571,53571,27.124.125.250,123,udp,1526345186,1526345186,0.048705,e,CON,2,1,1,180,90,90,20.531773,0,0,0.048705,0,0.048705,0.048705,0.048705,0,Normal,Normal
192.168.100.150,192.168.100.15037024,37024,27.124.125.250,123,udp,1526345187,1526345187,0.048645,e,CON,2,1,1,180,90,90,20.557096,0,0,0.048645,0,0.048645,0.048645,0.048645,0,Normal,Normal
fe80::250:56ff:febe:89ee,fe80::250:56ff:febe:89ee133,133,ff02::2,0,ipv6-icmp,1526345228,1526345228,0,e,NRS,1,1,0,70,70,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14738810,38810,129.250.35.250,123,udp,1526345259,1526345259,0.00697,e,CON,2,1,1,180,90,90,143.472031,0,0,0.00697,0,0.00697,0.00697,0.00697,0,Normal,Normal
192.168.100.4,192.168.100.445057,45057,91.189.91.157,123,udp,1526345284,1526345284,0.223549,e,CON,2,1,1,180,90,90,4.473292,0,0,0.223549,0,0.223549,0.223549,0.223549,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.4,,arp,1526345284,1526345284,0.000011,e,CON,2,1,1,102,60,42,90909.0938,0,0,0.000011,0,0.000011,0.000011,0.000011,0,Normal,Normal
192.168.100.4,192.168.100.4,,192.168.100.1,,arp,1526345289,1526345289,0.000251,e,CON,2,1,1,102,42,60,3984.06397,0,0,0.000251,0,0.000251,0.000251,0.000251,0,Normal,Normal
192.168.100.150,192.168.100.15050232,50232,224.0.0.251,5353,udp,1526345445,1526345445,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14940285,40285,224.0.0.251,5353,udp,1526345446,1526345446,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14859441,59441,224.0.0.251,5353,udp,1526345449,1526345449,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15033816,33816,224.0.0.251,5353,udp,1526345450,1526345450,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14957131,57131,224.0.0.251,5353,udp,1526345451,1526345451,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15033956,33956,224.0.0.251,5353,udp,1526345452,1526345452,0,e,INT,1,1,0,60,60,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14735795,35795,224.0.0.251,5353,udp,1526345452,1526345452,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14950421,50421,224.0.0.251,5353,udp,1526345453,1526345453,0,e,INT,1,1,0,60,60,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14851781,51781,224.0.0.251,5353,udp,1526345454,1526345454,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14839502,39502,224.0.0.251,5353,udp,1526345456,1526345456,0,e,INT,1,1,0,60,60,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14754674,54674,224.0.0.251,5353,udp,1526345457,1526345457,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14744248,44248,224.0.0.251,5353,udp,1526345459,1526345459,0,e,INT,1,1,0,60,60,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15032985,32985,224.0.0.251,5353,udp,1526345472,1526345472,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14938008,38008,224.0.0.251,5353,udp,1526345473,1526345473,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14853917,53917,224.0.0.251,5353,udp,1526345476,1526345476,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15040086,40086,224.0.0.251,5353,udp,1526345477,1526345477,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14951193,51193,224.0.0.251,5353,udp,1526345478,1526345478,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15057854,57854,192.168.217.2,53,udp,1526345479,1526345481,2.501117,e,INT,2,2,0,172,172,0,0.399821,0.399821,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14735790,35790,224.0.0.251,5353,udp,1526345479,1526345479,0,e,INT,1,1,0,88,88,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14943307,43307,192.168.217.2,53,udp,1526345480,1526345483,2.500041,e,INT,2,2,0,172,172,0,0.399993,0.399993,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14841399,41399,224.0.0.251,5353,udp,1526345481,1526345481,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.148,192.168.100.14842395,42395,192.168.217.2,53,udp,1526345484,1526345486,2.501191,e,INT,2,2,0,172,172,0,0.39981,0.39981,0,0,0,0,0,0,0,Normal,Normal
192.168.100.147,192.168.100.14746227,46227,224.0.0.251,5353,udp,1526345484,1526345484,0,e,INT,1,1,0,83,83,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.150,192.168.100.15049402,49402,8.8.8.8,53,udp,1526345485,1526345485,0.007175,e,CON,2,1,1,172,86,86,139.372818,0,0,0.007175,0,0.007175,0.007175,0.007175,0,Normal,Normal
192.168.100.147,192.168.100.14740542,40542,192.168.217.2,53,udp,1526345486,1526345489,2.500008,e,INT,2,2,0,172,172,0,0.399999,0.399999,0,0,0,0,0,0,0,Normal,Normal
192.168.100.149,192.168.100.14940567,40567,8.8.8.8,53,udp,1526345487,1526345487,0.007346,e,CON,2,1,1,172,86,86,136.12851,0,0,0.007346,0,0.007346,0.007346,0.007346,0,Normal,Normal
192.168.100.148,192.168.100.14847113,47113,8.8.8.8,53,udp,1526345490,1526345490,0.006982,e,CON,2,1,1,172,86,86,143.225433,0,0,0.006982,0,0.006982,0.006982,0.006982,0,Normal,Normal
192.168.100.147,192.168.100.14735391,35391,8.8.8.8,53,udp,1526345493,1526345493,0.006987,e,CON,2,1,1,172,86,86,143.12294,0,0,0.006987,0,0.006987,0.006987,0.006987,0,Normal,Normal
192.168.100.5,192.168.100.556784,56784,192.168.100.1,53,udp,1526345600,1526345600,0.052971,e,CON,2,1,1,233,79,154,18.878254,0,0,0.052971,0,0.052971,0.052971,0.052971,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.5,,arp,1526345600,1526345600,0.000134,e,CON,2,1,1,120,60,60,7462.68652,0,0,0.000134,0,0.000134,0.000134,0.000134,0,Normal,Normal
192.168.100.5,192.168.100.558787,58787,192.168.100.1,53,udp,1526345600,1526345600,0.00019,e,CON,2,1,1,233,79,154,5263.15772,0,0,0.00019,0,0.00019,0.00019,0.00019,0,Normal,Normal
192.168.100.5,192.168.100.5,,192.168.100.1,,arp,1526345605,1526345605,0.000078,e,CON,2,1,1,120,60,60,12820.5137,0,0,0.000078,0,0.000078,0.000078,0.000078,0,Normal,Normal
192.168.100.5,192.168.100.549859,49859,192.168.100.3,3306,tcp,1526345617,1526345664,46.375206,e,CON,97,46,51,29344,5843,23501,2.070072,0.970346,1.078162,1.528159,1.349996,3.056319,0.178163,2.878156,0,Normal,Normal
192.168.100.147,192.168.100.14747550,47550,192.168.100.3,3306,tcp,1526345634,1526345634,0.198723,e,FIN,13,7,6,1113,532,581,60.385559,30.19278,25.16065,0.198723,0,0.198723,0.198723,0.198723,1,Reconnaissance,Service_Scan
192.168.100.27,192.168.100.275353,5353,224.0.0.251,5353,udp,1526345683,1526345683,0,e,INT,1,1,0,183,183,0,0,0,0,0,0,0,0,0,0,Normal,Normal
fe80::2c6a:ff9b:7e14:166a,fe80::2c6a:ff9b:7e14:166a5353,5353,ff02::fb,5353,udp,1526345683,1526345683,0,e,INT,1,1,0,203,203,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.46,192.168.100.4680,80,192.168.100.5,80,udp,1526345895,1526347374,1479.43311,e,INT,26546,26546,0,25390827,25390827,0,17.942684,17.942684,0,4.961647,0.007576,1463.68591,4.946121,4.998017,0,Normal,Normal
192.168.100.46,192.168.100.4680,80,192.168.100.5,80,tcp,1526345895,1526347374,1479.43311,e,CON,26546,26546,0,25437515,25437515,0,17.942684,17.942684,0,4.96171,0.007897,1463.70447,4.946117,4.998015,0,Normal,Normal
192.168.100.5,192.168.100.50,0,192.168.100.3,0,tcp,1526345895,1526347375,1479.64624,e,CON,16225,16225,0,15080400,15080400,0,10.964783,10.964783,0,4.945239,0.026395,1458.84558,4.889463,4.997683,0,Normal,Normal
192.168.100.7,192.168.100.7365,365,192.168.100.3,565,udp,1526345895,1526347375,1479.69959,e,INT,14751,14751,0,885060,885060,0,9.96824,9.96824,0,4.909315,0.012232,1448.2478,4.89378,4.999954,0,Normal,Normal
192.168.100.3,192.168.100.380,80,192.168.100.55,8080,tcp,1526345895,1526347374,1479.38294,e &,CON,53090,26545,26545,54564495,25806623,28757872,35.885906,17.942616,17.942616,4.962064,0.006599,1463.80896,4.947089,4.99596,0,Normal,Normal
192.168.100.46,192.168.100.463456,3456,192.168.100.5,80,udp,1526345895,1526347375,1479.43628,e,CON,53092,26546,26546,53005937,27205854,25800083,35.885967,17.942644,17.942644,4.962133,0.009367,1463.82922,4.947263,4.999143,0,Normal,Normal
192.168.100.6,192.168.100.680,80,192.168.100.3,80,tcp,1526345895,1526347375,1479.54285,e,CON,8850,8850,0,2619600,2619600,0,5.980901,5.980901,0,4.855529,0.009396,1432.38098,4.839091,4.932051,0,Normal,Normal
192.168.100.3,192.168.100.359552,59552,13.55.154.73,8883,tcp,1526345897,1526347376,1478.75647,e,CON,2378,1190,1188,579147,500739,78408,1.607432,0.804054,0.802701,3.806379,1.190139,1100.04346,0.148573,4.999984,0,Normal,Normal
192.168.100.7,192.168.100.7139,139,192.168.100.4,36390,tcp,1526346041,1526347131,1090.4563,e,CON,8,4,4,544,280,264,0.006419,0.002751,0.002751,0.000032,0.000013,0.000128,0.000021,0.000053,0,Normal,Normal
192.168.100.4,192.168.100.4,,192.168.100.7,,arp,1526346046,1526347136,1090.56018,e,CON,8,4,4,408,168,240,0.006419,0.002751,0.002751,0.000212,0.000041,0.000849,0.00016,0.000262,0,Normal,Normal
192.168.100.27,192.168.100.2758999,58999,192.168.100.1,53,udp,1526346075,1526346075,0.144049,e,CON,2,1,1,190,87,103,6.942082,0,0,0.144049,0,0.144049,0.144049,0.144049,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.27,,arp,1526346076,1526346076,0.000411,e,CON,2,1,1,120,60,60,2433.09009,0,0,0.000411,0,0.000411,0.000411,0.000411,0,Normal,Normal
192.168.100.27,192.168.100.27,,192.168.100.1,,arp,1526346080,1526346181,100.864304,e,CON,4,2,2,240,120,120,0.029743,0.009914,0.009914,0.000079,0.000018,0.000157,0.000061,0.000096,0,Normal,Normal
192.168.100.27,192.168.100.2768,68,192.168.100.1,67,udp,1526346176,1526346176,0.003554,e,CON,2,1,1,684,342,342,281.373108,0,0,0.003554,0,0.003554,0.003554,0.003554,0,Normal,Normal
192.168.100.149,192.168.100.14935541,35541,27.124.125.250,123,udp,1526346275,1526346275,0.049033,e,CON,2,1,1,180,90,90,20.394428,0,0,0.049033,0,0.049033,0.049033,0.049033,0,Normal,Normal
192.168.100.149,192.168.100.149,,192.168.100.1,,arp,1526346280,1526346280,0.000107,e,CON,2,1,1,120,60,60,9345.79395,0,0,0.000107,0,0.000107,0.000107,0.000107,0,Normal,Normal
fe80::250:56ff:febe:254,fe80::250:56ff:febe:254133,133,ff02::2,0,ipv6-icmp,1526346299,1526346299,0,e,NRS,1,1,0,70,70,0,0,0,0,0,0,0,0,0,0,Normal,Normal
fe80::250:56ff:febe:bf1a,fe80::250:56ff:febe:bf1a133,133,ff02::2,0,ipv6-icmp,1526346428,1526346428,0,e,NRS,1,1,0,70,70,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.100.1,192.168.100.1,,192.168.100.3,,arp,1526346513,1526346513,0.000103,e,CON,2,1,1,120,60,60,9708.73828,0,0,0.000103,0,0.000103,0.000103,0.000103,0,Normal,Normal
192.168.100.7,192.168.100.7138,138,192.168.100.255,138,udp,1526346516,1526347245,728.372864,e,INT,4,4,0,1086,1086,0,0.004119,0.004119,0,0.000082,0.000014,0.000163,0.000068,0.000095,0,Normal,Normal
192.168.100.6,192.168.100.6138,138,192.168.100.255,138,udp,1526346518,1526347418,900.018799,e,INT,2,2,0,500,500,0,0.001111,0.001111,0,0,0,0,0,0,0,Normal,Normal
192.168.100.3,192.168.100.315681,15681,216.239.34.10,53,udp,1526346608,1526346608,0.14349,e,CON,2,1,1,201,98,103,6.969127,0,0,0.14349,0,0.14349,0.14349,0.14349,0,Normal,Normal
192.168.100.3,192.168.100.319729,19729,199.7.91.13,53,udp,1526346608,1526346608,0.015746,e,CON,2,1,1,1301,85,1216,63.508194,0,0,0.015746,0,0.015746,0.015746,0.015746,0,Normal,Normal
